address,city,latitude,longitude,store_id,store_number
1170 W 49th st,Hialeah,-80.305903,25.865764,5762,43
3801 West Flagler Street,Miami,-80.2576021,25.7722525,5761,42
5660 Curry Ford Rd,Orlando,-81.31123,28.522164,5760,41
12981 South Orange Blossom Trl,Orlando,-81.403377,28.3773187,5759,40
8601 Bird Rd,Miami,-80.333935,25.734462,5757,38
14524 SW 8th st,Miami,-80.430479,25.759837,5756,37
18600 NW 87th ave,Hialeah,-80.344113,25.944159,5755,36
17171 Pines Blvd,Pembroke Pines,-80.375359,26.00911,5753,34
10780 NW 58th St,Doral,-80.371893,25.824992,5752,33
14655 SW 56th st,Miami,-80.430305,25.715697,5751,32
831 NE 8th st,Homestead,-80.466547,25.47835,5750,31
16255 SW 88th st,Miami,-80.455511,25.685489,5749,29
3140 W 76th st,Hialeah,-80.346549,25.890167,5748,28
10333 Pines Blvd,Pembroke Pines,-80.284135,26.009538,5747,27
2301 W 52nd St,Hialeah,-80.3292371,25.8703085,5746,26
2325 N state road 7,Hollywood,-80.207382,26.031321,5745,24
2425 SW 8th st,Miami,-80.235355,25.765498,5744,23
5360 W 16th ave,Hialeah,-80.317045,25.871817,5743,22
13794 SW 152nd st,Miami,-80.416727,25.625076,5742,21
6430 NW 186th st,Hialeah,-80.304662,25.941449,5741,20
12175 SW 26th st,Miami,-80.390628,25.746426,5740,18
10720 W Flagler St,Miami,-81.12746,29.48103,5739,17
3925 Palm ave,Hialeah,-80.282176,25.858178,5738,16
1263 W Flagler st,Miami,-80.215836,25.774247,5736,14
950 E 4th ave,Hialeah,-80.274207,25.830699,5735,11
1690 W 68th st,Hialeah,-80.31749,25.883873,5734,10
4040 E 4th ave,Hialeah,-80.275227,25.859086,5733,9
3950 W 12th ave,Hialeah,-80.307595,25.856868,5732,8
4803 SW 8th St.,Coral Gables,-80.273859,25.764609,5731,7
9688 SW 24th st,Miami,-80.3509918,25.7461548,5730,5
6709 West Flagler Street,Miami,-80.3048639,25.7707159,5729,4
840 E 41st st,Hialeah,-80.265802,25.859638,5728,1
