store_name,address,state,city,latitude,longitude,store_id
Miramar Center,Miramar Center,FL,JACKSONVILLE,30.274714,-81.650733,115
LAKEWOOD PLAZA,LAKEWOOD PLAZA,FL,JACKSONVILLE,30.259784,-81.64382,190
College Park,College Park,FL,JACKSONVILLE,30.330792,-81.602492,96
,,FL,JACKSONVILLE,30.245273,-81.695911,123
Gateway Town Center,Gateway Town Center,FL,JACKSONVILLE,30.37112,-81.665491,108
TOWN CENTER VILLAGE,TOWN CENTER VILLAGE,FL,JACKSONVILLE,30.28507,-81.526944,195
TOWN CENTER VILLAGE,TOWN CENTER VILLAGE,FL,JACKSONVILLE,30.285343,-81.526744,193
NORMANDY MARKETPLACE,NORMANDY MARKETPLACE,FL,JACKSONVILLE,30.310368,-81.735282,191
MONUMENT POINT,MONUMENT POINT,FL,JACKSONVILLE,30.346202,-81.524509,54
,,FL,JACKSONVILLE,30.172137,-81.601761,179
Point Meadows Shopping Center,Point Meadows Shopping Center,FL,JACKSONVILLE,30.21746,-81.518395,7
Point Meadows Shopping Center,Point Meadows Shopping Center,FL,JACKSONVILLE,30.217285,-81.517893,9
NORMANDY SQUARE,NORMANDY SQUARE,FL,JACKSONVILLE,30.294602,-81.779925,153
Mandarin South Shopping Center,Mandarin South Shopping Center,FL,JACKSONVILLE,30.160042,-81.633956,2556
Mandarin South Shopping Center,Mandarin South Shopping Center,FL,JACKSONVILLE,30.159132,-81.633726,2560
LIVE OAK SHOPPING CENTER,LIVE OAK SHOPPING CENTER,FL,ORANGE PARK,30.167068,-81.702465,40
LIVE OAK SHOPPING CENTER,LIVE OAK SHOPPING CENTER,FL,ORANGE PARK,30.166826,-81.702349,43
GIRVIN PLAZA,GIRVIN PLAZA,FL,JACKSONVILLE,30.320572,-81.471428,174
OCEANWAY PLAZA,OCEANWAY PLAZA,FL,JACKSONVILLE,30.461027,-81.632209,12
,,FL,JACKSONVILLE,30.19432,-81.796445,187
,,FL,JACKSONVILLE,30.19401,-81.796296,176
,,FL,JACKSONVILLE,30.306811,-81.846625,199
PENMAN PLAZA,PENMAN PLAZA,FL,NEPTUNE BEACH,30.323162,-81.410239,106
PENMAN PLAZA,PENMAN PLAZA,FL,NEPTUNE BEACH,30.323023,-81.409607,18
PONTE VEDRA SQUARE,PONTE VEDRA SQUARE,FL,PONTE VEDRA BEACH,30.226564,-81.388866,5
CLAY PLAZA,CLAY PLAZA,FL,ORANGE PARK,30.122116,-81.798483,8
ST. JOHNS COMMONS,ST. JOHNS COMMONS,FL,JACKSONVILLE,30.061424,-81.513785,2
St. Johns Commons,St. Johns Commons,FL,JACKSONVILLE,30.061261,-81.513376,21
,,FL,GREEN COVE SPRINGS,30.02275,-81.707259,128
,,FL,GREEN COVE SPRINGS,30.022536,-81.7073,138
ASBURY COMMONS LTD.,ASBURY COMMONS LTD.,FL,GREEN COVE SPRINGS,30.046997,-81.807439,135
LIQUOR,LIQUOR,FL,GREEN COVE SPRINGS,30.046794,-81.807506,136
Grand Ole Plaza,Grand Ole Plaza,FL,MIDDLEBURG,30.061957,-81.878205,94
GRAND OLD PLAZA,GRAND OLD PLAZA,FL,MIDDLEBURG,30.061478,-81.878267,93
CALLAHAN SHOPPING CENTER,CALLAHAN SHOPPING CENTER,FL,CALLAHAN,30.567372,-81.825358,151
LOFTON SQUARE,LOFTON SQUARE,FL,YULEE,30.623985,-81.544405,180
