address,state,city,latitude,longitude,store_id
1817 Thomasville Rd,FL,Tallahassee,-84.269918,30.462981,10478
3490 SW Archer Rd,FL,Gainesville,-82.375989,29.625708,10704
4402 Legendary Dr,FL,Destin,-86.42003848,30.39023957,10621
10601 San Jose Blvd,FL,Jacksonville,-81.6259731,30.1849746,10253
2050 3rd St S,FL,Jacksonville Beach,-81.390046,30.270282,10648
27001 US 19 N,FL,Clearwater,-82.73576,28.016949,10515
3802 Northdale Blvd,FL,Tampa,-82.50414593,28.09317937,10339
3740 Midtown Dr,FL,Tampa,-82.504749,27.952455,10723
201 38th Ave N,FL,St. Petersburg,-82.63614268640384,27.808862891217963,10793
305 E Altamonte Dr,FL,Altamonte Springs,-81.381454,28.664256,10516
1030 N Orlando Ave,FL,Winter Park,-81.363309,28.606846,10580
8003 Turkey Lake Rd,FL,Orlando,-81.47673732,28.44918496,10194
5298 University Pkwy,FL,Sarasota,-82.464528,27.386894,10642
1451 1st St,FL,Sarasota,-82.541217,27.337654,10189
6891 Daniels Pkwy,FL,Fort Myers,-81.842444,26.547953,10669
9101 Strada Pl,FL,Naples,-81.800214,26.254626,10192
11701 Lake Victoria Gardens Ave,FL,Palm Beach Gardens,-80.09433312,26.84823415,10188
2635 FL-7,FL,Wellington,-80.206286,26.64126,10195
1845 Palm Beach Lakes Blvd,FL,West Palm Beach,-80.08922987,26.72068198,10529
7395 Boynton Beach Blvd,FL,Boynton Beach,-80.16303,26.52917,10805
680 Linton Blvd,FL,Delray Beach,-80.079591,26.439288,10739
1400 Glades Rd,FL,Boca Raton,-80.11492607,26.36599434,10130
810 University Dr,FL,Coral Springs,-80.25666611,26.2425174,10088
2411 N Federal Hwy,FL,Pompano Beach,-80.101005,26.261521,10352
1903 S University Dr,FL,Davie,-80.25195291,26.09671937,10549
14956 Pines Blvd,FL,Pembroke Pines,-80.34972185,26.00651076,10193
2000 N Federal Hwy,FL,Fort Lauderdale,-80.117585,26.153671,10117
501 SE 17th St,FL,Fort Lauderdale,-80.137952,26.100564,10715
21105 Biscayne Blvd,FL,Aventura,-80.140821,25.971134,10096
12150 Biscayne Blvd,FL,North Miami,-80.165262,25.887864,10477
299 SE 3rd Ave,FL,Miami,-80.189606,25.772077,10191
6701 Red Rd,FL,Coral Gables,-80.284659,25.706282,10190
7930 SW 104th St,FL,Miami,-80.3233,25.6734,10682
1020 Alton Rd,FL,Miami Beach,-80.14119,25.780968,10285
967 Florida Avenue NW,DC,Washington,-77.0247,38.9196,10651
9560 Glades Road,FL,Boca Raton,80.19597,26.36634,10839
