internal_id,address,city,state,latitude,longitude
4794,3530 Lakeland Highlands Rd,Lakeland,FL,27.998447,-81.921383
6441,4600 US Hwy N. 98,Lakeland,FL,28.101801,-81.976317
4782,4763 W. Irlo Bronson Mem. Hwy.,Kissimmee,FL,28.327402,-81.468385
4801,10385 Big Bend Road,Riverview,FL,27.789695,-82.336728
6403,2021 Brandon Blvd.W.,Brandon,FL,27.935053,-82.316294
8290,9498 S. Orange Blossom Tr.,Orlando,FL,28.42203,-81.40677
4828,11920 Narcoossee Rd,Orlando,FL,28.392283,-81.247413
8141,4255 W. New Haven Ave.,Melbourne,FL,28.077585,-80.696554
6445,17700 Murdock Cir.,Port Charlotte,FL,27.008263,-82.155009
6218,7810 W. Colonial Dr.,Orlando,FL,28.55039024,-81.48934938
4772,300 N. Cattlemen Rd.,Sarasota,FL,27.340858,-82.453416
4852,27727 State Rd. 56,Wesley Chapel,FL,28.187626,-82.358014
8201,5300 30th St. E.,Bradenton,FL,27.446361,-82.52779
6212,7701 E. Colonial Dr.,Orlando,FL,28.56997,-81.284097
4991,450 Townsend Rd,Cocoa,FL,28.362285,-80.793348
6520,5565 20th St.,Vero Beach,FL,27.63686,-80.44508
6401,15835 N Dale Mabry Hwy,Tampa,FL,28.096877,-82.500614
6189,1500 S. Orange Blossom Tr.,Apopka,FL,28.653557,-81.471324
4861,1725 34th St N,St Petersburg,FL,27.788498,-82.677249
4972,1750 SW Gatlin Blvd.,Port St. Lucie,FL,27.262535,-80.400858
6387,7001 Park Blvd.,Pinellas Park,FL,27.840336,-82.735415
4857,301 SW Pine Island Road,Cape Coral,FL,26.651866,-81.979982
6420,2575 Gulf-To-Bay Blvd.,Clearwater,FL,27.959251,-82.732138
8130,5170 S. Cleveland Ave.,Ft. Myers,FL,26.585639,-81.874458
4785,1101 Rinehart Rd.,Sanford,FL,28.791638,-81.341375
8150,10900 S US Hwy #1,Port St. Lucie,FL,27.266981,-80.284298
6448,4330 US Highway 19,New Port Richey,FL,28.222058,-82.733267
4818,13360 Cortez Blvd.,Brooksville,FL,28.531057,-82.503117
4998,755 North Hwy 27/441,Lady Lake,FL,28.934002,-81.931741
6364,2550 Immokalee Rd.,Naples,FL,26.270419,-81.768877
